Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.56.1-192.168.56.101-54025-21-6,192.168.56.1,54025,192.168.56.101,21,6,14/01/2014 07:37:41 PM,1809657,10,9,24.0,137.0,10.0,0.0,2.4,3.977715704047013,69.0,0.0,15.222222222222221,23.39753073391388,88.96713576108621,10.49922720161887,100536.5,389990.61740376597,1659744.0,10.0,1809388.0,201043.11111111115,563064.0414902741,1699645.0,10.0,1809608.0,226200.99999999997,580424.7775672572,1659744.0,133.0,0,0,0,0,332,296,5.525909053483616,4.973318148135254,0.0,69.0,8.049999999999999,16.81000641848401,282.57631578947365,2,2,0,7,18,0,0,0,0.0,8.473684210526315,2.4,15.222222222222221,0,0,0,119,4,45385,10,24,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54026-21-6,192.168.56.1,54026,192.168.56.101,21,6,14/01/2014 07:37:42 PM,2179410,10,9,25.0,137.0,10.0,0.0,2.5,4.1432676315520185,69.0,0.0,15.222222222222221,23.39753073391388,74.33204399355789,8.717955777022222,121078.33333333333,501893.7649336702,2131815.0,26.0,2179053.0,242117.0,723186.4957307002,2170610.0,26.0,2179364.0,272420.5,751423.6280961245,2131815.0,162.0,0,0,0,0,332,296,4.588397777380117,4.129557999642105,0.0,69.0,8.1,16.811337026886914,282.62105263157895,2,2,0,7,18,0,0,0,0.0,8.526315789473685,2.5,15.222222222222221,0,0,0,120,4,37902,10,25,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54027-21-6,192.168.56.1,54027,192.168.56.101,21,6,14/01/2014 07:37:45 PM,1924938,10,9,25.0,137.0,10.0,0.0,2.5,4.1432676315520185,69.0,0.0,15.222222222222221,23.39753073391388,84.15855471708699,9.87044777546082,106941.0,442005.95709866384,1877682.0,12.0,1924635.0,213848.33333333334,638159.323967965,1915600.0,12.0,1924892.0,240611.5,661600.3182524282,1877682.0,124.0,0,0,0,0,332,296,5.194972513400431,4.675475262060388,0.0,69.0,8.1,16.811337026886914,282.62105263157895,2,2,0,7,18,0,0,0,0.0,8.526315789473685,2.5,15.222222222222221,0,0,0,120,4,39748,10,25,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54028-21-6,192.168.56.1,54028,192.168.56.101,21,6,14/01/2014 07:37:47 PM,1863768,10,9,25.0,137.0,10.0,0.0,2.5,4.1432676315520185,69.0,0.0,15.222222222222221,23.39753073391388,86.92068969957634,10.194401878345372,103542.66666666664,427841.47796185943,1817526.0,13.0,1863369.0,207040.99999999997,617967.810426239,1854949.0,13.0,1863720.0,232965.00000000003,640382.6774738457,1817526.0,171.0,0,0,0,0,332,296,5.365474672813354,4.828927205532019,0.0,69.0,8.1,16.811337026886914,282.62105263157895,2,2,0,7,18,0,0,0,0.0,8.526315789473685,2.5,15.222222222222221,0,0,0,120,4,47846,10,25,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54029-21-6,192.168.56.1,54029,192.168.56.101,21,6,14/01/2014 07:37:48 PM,2336361,10,9,25.0,137.0,10.0,0.0,2.5,4.1432676315520185,69.0,0.0,15.222222222222221,23.39753073391388,69.33859964277781,8.132304896375175,129797.83333333334,538669.9613787594,2287921.0,12.0,2336027.0,259558.55555555556,774991.6000096567,2326197.0,12.0,2336311.0,292038.875,806561.3711194735,2287921.0,247.0,0,0,0,0,332,296,4.280160471776408,3.852144424598767,0.0,69.0,8.1,16.811337026886914,282.62105263157895,2,2,0,7,18,0,0,0,0.0,8.526315789473685,2.5,15.222222222222221,0,0,0,120,4,41011,10,25,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54032-21-6,192.168.56.1,54032,192.168.56.101,21,6,14/01/2014 07:37:51 PM,2080445,10,9,25.0,137.0,10.0,0.0,2.5,4.1432676315520185,69.0,0.0,15.222222222222221,23.39753073391388,77.86795613438471,9.13266152193401,115580.27777777775,478672.9318595694,2033283.0,11.0,2079840.0,231093.33333333334,689811.2402273538,2070584.0,11.0,2080397.0,260049.62500000003,716603.6653006093,2033283.0,243.0,0,0,0,0,332,296,4.806663958912636,4.325997563021373,0.0,69.0,8.1,16.811337026886914,282.62105263157895,2,2,0,7,18,0,0,0,0.0,8.526315789473685,2.5,15.222222222222221,0,0,0,120,4,47770,10,25,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54033-21-6,192.168.56.1,54033,192.168.56.101,21,6,14/01/2014 07:37:53 PM,1688230,10,9,25.0,137.0,10.0,0.0,2.5,4.1432676315520185,69.0,0.0,15.222222222222221,23.39753073391388,95.95848906843263,11.254390693211233,93790.55555555556,385733.2824608555,1638954.0,11.0,1687667.0,187518.5555555556,559408.8559850726,1679270.0,17.0,1688180.0,211022.49999999997,577130.3203865038,1638954.0,214.0,0,0,0,0,332,296,5.923363522742755,5.331027170468479,0.0,69.0,8.1,16.811337026886914,282.62105263157895,2,2,0,7,18,0,0,0,0.0,8.526315789473685,2.5,15.222222222222221,0,0,0,120,4,47151,10,25,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54034-21-6,192.168.56.1,54034,192.168.56.101,21,6,14/01/2014 07:37:55 PM,1297738,10,9,25.0,137.0,10.0,0.0,2.5,4.1432676315520185,69.0,0.0,15.222222222222221,23.39753073391388,124.83259332777494,14.640859711282246,72096.55555555556,293484.97011345695,1247481.0,12.0,1297344.0,144149.3333333333,428840.59056483913,1287713.0,26.0,1297686.0,162210.75,438726.2908484547,1247481.0,210.0,0,0,0,0,332,296,7.705715637516971,6.935144073765274,0.0,69.0,8.1,16.811337026886914,282.62105263157895,2,2,0,7,18,0,0,0,0.0,8.526315789473685,2.5,15.222222222222221,0,0,0,120,4,38847,10,25,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54035-21-6,192.168.56.1,54035,192.168.56.101,21,6,14/01/2014 07:37:56 PM,1433619,10,9,25.0,137.0,10.0,0.0,2.5,4.1432676315520185,69.0,0.0,15.222222222222221,23.39753073391388,113.00073450477429,13.253172565374761,79645.50000000001,326166.8163107104,1386093.0,26.0,1433471.0,159274.55555555556,474574.5314503063,1424799.0,26.0,1433572.0,179196.5,487830.2080200212,1386093.0,256.0,0,0,0,0,332,296,6.97535398177619,6.277818583598571,0.0,69.0,8.1,16.811337026886914,282.62105263157895,2,2,0,7,18,0,0,0,0.0,8.526315789473685,2.5,15.222222222222221,0,0,0,120,4,51391,10,25,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54036-21-6,192.168.56.1,54036,192.168.56.101,21,6,14/01/2014 07:37:57 PM,1906390,10,9,25.0,137.0,10.0,0.0,2.5,4.1432676315520185,69.0,0.0,15.222222222222221,23.39753073391388,84.97736559675617,9.966481150236834,105910.55555555556,437078.5646491839,1856884.0,0.0,1906123.0,211791.4444444444,631543.0685476073,1895897.0,0.0,1906389.0,238298.62499999997,654138.4287265496,1856884.0,60.0,0,0,0,0,332,296,5.245516394861492,4.720964755375343,0.0,69.0,8.1,16.811337026886914,282.62105263157895,2,2,0,7,18,0,0,0,0.0,8.526315789473685,2.5,15.222222222222221,0,0,0,120,4,62532,10,25,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
